Run_ID,Agent_Count,Agent_ID,Start_Lat,Start_Lon,End_Lat,End_Lon,Total_Time,Collision_Count,Path_Sequence
1_1_1,1,0,12.978352,77.645908,12.972947,77.645348,11.3,0,"[34, 28, 22, 16, 10, 9]"
1_1_2,1,0,12.978352,77.645908,12.972947,77.645348,11.4,0,"[34, 28, 22, 16, 10, 9]"
1_1_3,1,0,12.978352,77.645908,12.972947,77.645348,11.4,0,"[34, 28, 22, 16, 10, 9]"
1_1_4,1,0,12.978352,77.645908,12.972947,77.645348,11.4,0,"[34, 28, 22, 16, 10, 9]"
1_1_5,1,0,12.978352,77.645908,12.972947,77.645348,11.4,0,"[34, 28, 22, 16, 10, 9]"
1_2_1,1,0,12.972932,77.645348,12.977493,77.645348,10.91,0,"[8, 9, 15, 21, 27]"
1_2_2,1,0,12.972932,77.645348,12.977493,77.645348,10.91,0,"[27, 33]"
1_2_3,1,0,12.972932,77.645348,12.977493,77.645348,10.91,0,"[27, 33]"
1_2_4,1,0,12.972932,77.645348,12.977493,77.645348,10.91,0,"[27, 33]"
1_2_5,1,0,12.972932,77.645348,12.977493,77.645348,10.91,0,"[27, 33]"
3_1_1,3,0,12.977493,77.645333,12.978337,77.648114,5.35,0,"[33, 34, 35]"
3_1_1,3,1,12.975657,77.644328,12.975642,77.648114,5.56,0,"[21, 22, 23]"
3_1_1,3,2,12.978322,77.643201,12.973456,77.646731,15.94,0,"[31, 25, 19, 13, 7, 8, 9, 10]"
1_1_1,1,0,12.977493,77.645333,12.978337,77.648114,5.3,0,"[33, 34, 35]"
1_1_2,1,0,12.977493,77.645333,12.978337,77.648114,5.3,0,"[33, 34, 35]"
1_1_3,1,0,12.977493,77.645333,12.978337,77.648114,5.3,0,"[33, 34, 35]"
1_1_4,1,0,12.977493,77.645333,12.978337,77.648114,5.29,0,"[33, 34, 35]"
1_1_5,1,0,12.977493,77.645333,12.978337,77.648114,5.27,0,"[33, 34, 35]"
1_2_1,1,0,12.978337,77.648129,12.978337,77.643966,10.0,0,"[29, 28, 27, 26, 32]"
1_2_2,1,0,12.978337,77.648129,12.978337,77.643966,10.0,0,"[29, 28, 27, 26, 32]"
1_2_3,1,0,12.978337,77.648129,12.978337,77.643966,10.0,0,"[29, 28, 27, 26, 32]"
1_2_4,1,0,12.978337,77.648129,12.978337,77.643966,10.0,0,"[29, 28, 27, 26, 32]"
1_2_5,1,0,12.978337,77.648129,12.978337,77.643966,10.0,0,"[29, 28, 27, 26, 32]"
3_1_1,3,0,12.978322,77.643966,12.972947,77.643142,13.2,0,"[31, 25, 19, 13, 7, 8]"
3_1_1,3,1,12.975289,77.645363,12.978337,77.645348,6.8,0,"[15, 21, 27, 33]"
3_1_1,3,2,12.972932,77.647028,12.974295,77.643966,5.86,0,"[10, 9, 8, 14]"
3_1_2,3,0,12.978322,77.643966,12.972947,77.643142,13.2,0,"[8, 7]"
3_1_2,3,1,12.975289,77.645363,12.978337,77.645348,6.8,0,"[15, 21, 27, 33]"
3_1_2,3,2,12.972932,77.647028,12.974295,77.643966,5.86,0,"[10, 9, 8, 14]"
3_1_3,3,0,12.978322,77.643966,12.972947,77.643142,13.2,0,"[8, 7]"
3_1_3,3,1,12.975289,77.645363,12.978337,77.645348,6.8,0,"[15, 21, 27, 33]"
3_1_3,3,2,12.972932,77.647028,12.974295,77.643966,5.86,0,"[10, 9, 8, 14]"
3_1_4,3,0,12.978322,77.643966,12.972947,77.643142,13.2,0,"[8, 7]"
3_1_4,3,1,12.975289,77.645363,12.978337,77.645348,6.8,0,"[15, 21, 27, 33]"
3_1_4,3,2,12.972932,77.647028,12.974295,77.643966,5.86,0,"[10, 9, 8, 14]"
3_1_5,3,0,12.978322,77.643966,12.972947,77.643142,13.2,0,"[8, 7]"
3_1_5,3,1,12.975289,77.645363,12.978337,77.645348,6.8,0,"[15, 21, 27, 33]"
3_1_5,3,2,12.972932,77.647028,12.974295,77.643966,5.86,0,"[10, 9, 8, 14]"
3_2_1,3,0,12.972932,77.643142,12.974295,77.645759,7.8,0,"[7, 8, 9, 15]"
3_2_1,3,1,12.978337,77.645363,12.975642,77.648114,7.28,0,"[27, 21, 22, 23]"
3_2_1,3,2,12.974295,77.643981,12.975642,77.646285,10.06,0,"[8, 9, 10, 16, 22]"
3_2_2,3,0,12.972932,77.643142,12.974295,77.645759,7.8,0,"[15, 16]"
3_2_2,3,1,12.978337,77.645363,12.975642,77.648114,7.28,0,"[27, 21, 22, 23]"
3_2_2,3,2,12.974295,77.643981,12.975642,77.646285,10.06,0,"[22, 21]"
3_2_3,3,0,12.972932,77.643142,12.974295,77.645759,7.8,0,"[15, 16]"
3_2_3,3,1,12.978337,77.645363,12.975642,77.648114,7.28,0,"[27, 21, 22, 23]"
3_2_3,3,2,12.974295,77.643981,12.975642,77.646285,10.06,0,"[22, 21]"
3_2_4,3,0,12.972932,77.643142,12.974295,77.645759,7.8,0,"[15, 16]"
3_2_4,3,1,12.978337,77.645363,12.975642,77.648114,7.28,0,"[27, 21, 22, 23]"
3_2_4,3,2,12.974295,77.643981,12.975642,77.646285,10.06,0,"[22, 21]"
3_2_5,3,0,12.972932,77.643142,12.974295,77.645759,7.8,0,"[15, 16]"
3_2_5,3,1,12.978337,77.645363,12.975642,77.648114,7.28,0,"[27, 21, 22, 23]"
3_2_5,3,2,12.974295,77.643981,12.975642,77.646285,10.06,0,"[22, 21]"
